bin_id,bin_end
0,0.0000250
1,0.0000500
2,0.0000750
3,0.0001000
4,0.0001250
5,0.0001500
6,0.0001750
7,0.0002000
8,0.0002250
9,0.0002500
10,0.0003000
11,0.0003500
12,0.0004000
13,0.0004500
14,0.0005000
15,0.0005549
16,0.0006221
17,0.0006973
18,0.0007817
19,0.0008763
20,0.0009824
21,0.001101
0,0.001235
23,0.001384
24,0.001551
25,0.001739
26,0.001950
27,0.002186
28,0.002450
29,0.002747
30,0.003079
31,0.003452
32,0.003870
33,0.004338
34,0.004863
35,0.005451
36,0.006111
37,0.006851
38,0.007680
39,0.008609
40,0.009651
41,0.01082
42,0.01213
43,0.01360
44,0.01524
45,0.01709
46,0.01915
47,0.02147
48,0.02407
49,0.02698
50,0.03025
51,0.03391
52,0.03801
53,0.04262
54,0.04777
55,0.05355
56,0.06004
57,0.06730
58,0.07545
59,0.08458
60,0.09481
61,0.1063
62,0.1191
63,0.1336
64,0.1497
65,0.1679
66,0.1882
67,0.2109
68,0.2365
69,0.2651
70,0.2972
71,0.3331
72,0.3735
73,0.4187
74,0.4693
75,0.5261
76,0.5898
77,0.6612
78,0.7412
79,0.8309
80,0.9314
81,1.044
82,1.171
83,1.312
84,1.471
85,1.649
86,1.849
87,2.072
88,2.323
89,2.604
90,2.919
91,3.273
92,3.669
93,4.113
94,4.611
95,5.169
96,5.794
97,6.495
98,7.281
99,8.163
100,9.150
101,10.26
102,11.50
103,12.89
104,14.45
105,16.20
106,18.16
107,20.36
108,22.82
109,25.58
110,28.68
111,32.15
112,36.04
113,40.40
114,45.29
115,50.78
116,56.92
117,63.81
118,71.53
119,80.19
120,89.89
121,100.8
122,113.0
123,126.6
124,142.0
125,159.1
126,178.4
127,200.0
