bin_id,bin_end
0,0.00001000
1,0.00002000
2,0.00003000
3,0.00004000
4,0.00005000
5,0.00006000
6,0.00007000
7,0.00008000
8,0.00009000
9,0.0001000
10,0.0001100
11,0.0001200
12,0.0001300
13,0.0001400
14,0.0001600
15,0.0001807
16,0.0002142
17,0.0002538
18,0.0003004
19,0.0003552
20,0.0004198
21,0.0004956
22,0.0005847
23,0.0006893
24,0.0008119
25,0.0009554
26,0.001124
27,0.001320
28,0.001550
29,0.001818
30,0.002131
31,0.002495
32,0.002920
33,0.003414
34,0.003988
35,0.004656
36,0.005430
37,0.006328
38,0.007369
39,0.008574
40,0.009967
41,0.01158
42,0.01344
43,0.01558
44,0.01806
45,0.02091
46,0.02419
47,0.02796
48,0.03229
49,0.03727
50,0.04297
51,0.04951
52,0.05700
53,0.06556
54,0.07535
55,0.08653
56,0.09930
57,0.1138
58,0.1304
59,0.1493
60,0.1707
61,0.1951
62,0.2228
63,0.2542
64,0.2898
65,0.3301
66,0.3757
67,0.4272
68,0.4854
69,0.5511
70,0.6252
71,0.7087
72,0.8026
73,0.9083
74,1.027
75,1.160
76,1.310
77,1.477
78,1.665
79,1.875
80,2.110
81,2.372
82,2.665
83,2.991
84,3.355
85,3.759
86,4.209
87,4.709
88,5.264
89,5.880
90,6.562
91,6.562
92,7.318
93,8.154
94,9.078
95,10.10
96,11.22
97,12.47
98,13.83
99,15.34
100,16.99
101,18.81
102,20.81
103,22.99
104,25.39
105,28.02
106,30.89
107,34.02
108,37.45
109,41.19
110,45.26
111,49.69
112,54.52
113,59.76
114,65.45
115,71.63
116,78.33
117,85.59
118,93.44
119,101.9
120,111.1
121,121.0
122,131.6
123,143.1
124,155.5
125,168.8
126,183.1
127,200.0
