bin_id,bin_end
0,0.00001000
1,0.00002000
2,0.00003000
3,0.00004000
4,0.00005000
5,0.00006000
6,0.00007500
7,0.00009121
8,0.0001133
9,0.0001395
10,0.0001707
11,0.0002077
12,0.0002512
13,0.0003025
14,0.0003627
15,0.0004333
16,0.0005157
17,0.0006118
18,0.0007237
19,0.0008537
20,0.001004
21,0.001179
22,0.001380
23,0.001613
24,0.001881
25,0.002189
26,0.002544
27,0.002950
28,0.003416
29,0.003950
30,0.004560
31,0.005256
32,0.006051
33,0.006956
34,0.007987
35,0.009160
36,0.01049
37,0.01201
38,0.01372
39,0.01567
40,0.01787
41,0.02036
42,0.02318
43,0.02636
44,0.02996
45,0.03401
46,0.03858
47,0.04373
48,0.04952
49,0.05604
50,0.06337
51,0.07161
52,0.08086
53,0.09124
54,0.1029
55,0.1159
56,0.1306
57,0.1469
58,0.1652
59,0.1857
60,0.2087
61,0.2343
62,0.2629
63,0.2948
64,0.3304
65,0.3701
66,0.4144
67,0.4638
68,0.5187
69,0.5799
70,0.6480
71,0.7238
72,0.8080
73,0.9017
74,1.006
75,1.121
76,1.249
77,1.392
78,1.550
79,1.725
80,1.919
81,2.134
82,2.372
83,2.636
84,2.928
85,3.251
86,3.609
87,4.004
88,4.442
89,4.925
90,5.459
91,6.048
92,6.699
93,7.418
94,8.211
95,9.086
96,10.05
97,11.12
98,12.29
99,13.58
100,15.00
101,16.57
102,18.30
103,20.20
104,22.29
105,24.59
106,27.12
107,29.91
108,32.97
109,36.33
110,40.02
111,44.08
112,48.54
113,53.44
114,58.81
115,64.71
116,71.19
117,78.29
118,86.08
119,94.62
120,104.0
121,114.2
122,125.5
123,137.8
124,151.3
125,166.1
126,182.3
127,200.0
