bin_id,bin_end
0,0.02000
1,0.04000
2,0.06000
3,0.08000
4,0.1000
5,0.1200
6,0.1400
7,0.1600
8,0.1800
9,0.2000
10,0.2200
11,0.2400
12,0.2600
13,0.2800
14,0.3000
15,0.3200
16,0.3400
17,0.3600
18,0.3800
19,0.4000
20,0.4200
21,0.4400
22,0.4600
23,0.4800
24,0.5000
25,0.5200
26,0.5400
27,0.5600
28,0.5800
29,0.6000
30,0.6200
31,0.6400
32,0.6600
33,0.6800
34,0.7000
35,0.7200
36,0.7400
37,0.7600
38,0.7800
39,0.8000
40,0.8200
41,0.8400
42,0.8600
43,0.8800
44,0.9000
45,0.9200
46,0.9400
47,0.9600
48,0.9800
49,1.000
50,1.250
51,1.500
52,1.750
53,2.000
54,2.250
55,2.500
56,2.750
57,3.000
58,3.250
59,3.500
60,3.750
61,4.000
62,4.250
63,4.500
64,4.750
65,5.000
66,5.250
67,5.500
68,5.750
69,6.000
70,6.250
71,6.500
72,6.750
73,7.000
74,7.250
75,7.500
76,7.750
77,8.000
78,8.250
79,8.500
80,8.750
81,9.000
82,9.250
83,9.500
84,9.750
85,10.00
86,10.250
87,10.500
88,10.750
89,11.000
90,15.0000
91,20.0000
92,25.0000
93,30.0000
94,35.0000
95,40.0000
96,45.0000
97,50.0000
98,55.0000
99,60.0000
100,65.0000
101,70.0000
102,75.0000
103,80.0000
104,85.0000
105,90.0000
106,95.0000
107,100.0000
108,105.0000
109,110.0000
110,115.0000
111,120.0000
112,125.0000
113,130.0000
114,135.0000
115,140.0000
116,145.0000
117,150.0000
118,155.0000
119,160.0000
120,165.0000
121,170.0000
122,175.0000
123,180.0000
124,185.0000
125,190.0000
126,195.0000
127,200.0000
