id,name,aliases
00001,3i Group,III
00011,3M Company,MMM
00021,A. O. Smith,AOS
00031,A.P. Moller-Maersk,MAERSK-B
00041,ABB Group,ABB
00051,Abbott Laboratories,ABT
00061,AbbVie,ABBV
00071,Abertis Infraestructuras,ABE
00081,Accenture,ACN
00091,Accor,AC
00101,Actelion,ATLN
00111,Adecco,ADEN
00121,Adidas,ADS
00131,Admiral,ADM
00141,Adobe,ADBE
00151,Advanced Micro Devices,AMD
00161,Advantest,6857
00171,Adyen,ADYEN
00181,AECC Aviation Power,600893
00191,Aegon,AGN
00201,Aena,AENA
00211,Aeon,8267
00221,Aercap Holdings,AER
00231,AES Corporation,AES
00241,Aflac,AFL
00251,AGC Group,5201
00261,Ageas,AGS
00271,Agilent Technologies,A
00281,Agnico Eagle Mines,AEM
00291,Agricultural Bank of China,1288
00301,Ahold,AH
00311,Ahold Delhaize,AD
00321,AIA Group,1299
00331,AIB Group,AIBG
00341,Air Liquide,AI
00351,Air Products & Chemicals,APD
00361,Airbnb,ABNB
00371,Airbus,AIR
00381,Ajinomoto,2802
00391,Akamai Technologies,AKAM
00401,Akzo Nobel,AKZA
00411,Albemarle Corporation,ALB
00421,Alcon,ALC
00431,Alexandria Real Estate Equities,ARE
00441,Alibaba,BABA
00451,Alibaba Health,0241
00461,Align Technology,ALGN
00471,Alimentation Couche-Tard,ATD
00481,Allegion,ALLE
00491,Alliant Energy,LNT
00501,Allianz,ALV
00511,Allstate,ALL
00521,Alnylam Pharmaceuticals,ALNY
00531,Alphabet,GOOGL
00541,Alps Electric,6770
00551,Altice,ATC
00561,Altria,MO
00571,Amada,6113
00581,Amadeus IT Holding,AMS
00591,Amazon,AMZN
00601,Amcor,AMCR
00611,Ameren Corporation,AEE
00621,American Electric Power,AEP
00631,American Express,AXP
00641,American International,AIG
00651,American Tower,AMT
00661,American Water Works,AWK
00671,Ameriprise Financial,AMP
00681,Ametek,AME
00691,Amgen,AMGN
00701,Amorepacific,090430
00711,Amphenol,APH
00721,ANA Group,9202
00731,Analog Devices,ADI
00741,Anglo American,AAL
00751,Anheuser-Busch InBev,ABI
00761,Ansys,ANSS
00771,Anta Sports,2020
00781,ANZ Holdings,ANZ
00791,Aon,AON
00801,Aozora Bank,8304
00811,APA Corporation,APA
00821,Apollo Global Management,APO
00831,Apple,AAPL
00841,Applied Materials,AMAT
00851,AppLovin,APP
00861,APR,035760
00871,Aptiv,APTV
00881,ArcelorMittal,MT
00891,Arch Capital,ACGL
