id,name,aliases
00001,Argentine Peso,ARS
00101,Australian Dollar,AUD
00201,Bahraini Dinar,BHD
00301,Brazilian Real,BRL
00401,British Pound Sterling,GBP
00501,Bulgarian Lev,BGN
00601,Canadian Dollar,CAD
00701,Chilean Peso,CLP
00801,Chinese Renminbi,CNY
00901,Colombian Peso,COP
01001,Czech Koruna,CZK
01101,Danish Krone,DKK
01201,Egyptian Pound,EGP
01301,Euro,EUR
01401,Georgian Lari,GEL
01501,Hong Kong Dollar,HKD
01601,Hungarian Forint,HUF
01701,Indian Rupee,INR
01801,Indonesian Rupiah,IDR
01901,Israeli New Shekel,ILS
02001,Japanese Yen,JPY
02101,Kazakhstani Tenge,KZT
02201,Kuwaiti Dinar,KWD
02301,Malaysian Ringgit,MYR
02401,Mexican Peso,MXN
02501,Moroccan Dirham,MAD
02601,New Taiwan Dollar,TWD
02701,New Zealand Dollar,NZD
02801,Nigerian Naira,NGN
02901,Norwegian Krone,NOK
03001,Omani Rial,OMR
03101,Pakistani Rupee,PKR
03201,Peruvian Sol,PEN
03301,Philippine Peso,PHP
03401,Polish Złoty,PLN
03501,Qatari Riyal,QAR
03601,Romanian Leu,RON
03701,Russian Ruble,RUB
03801,Saudi Riyal,SAR
03901,Serbian Dinar,RSD
04001,Singapore Dollar,SGD
04101,South African Rand,ZAR
04201,South Korean Won,KRW
04301,Sri Lankan Rupee,LKR
04401,Swedish Krona,SEK
04501,Swiss Franc,CHF
04601,Thai Baht,THB
04701,Turkish Lira,TRY
04801,UAE Dirham,AED
04901,Ukrainian Hryvnia,UAH
05001,US Dollar,USD
05101,Vietnamese Dong,VND
