id,name,aliases
00001,ADX General,ADX|UAE|DUBAI|ABUDHABI
00101,AEX,AEX|NL25|NETH25|NETHERLANDS25|FTI|AEX1|AEX25
00201,ASX 200,XJO|AS51|AUS200|AU200|AUSTRALIA200|SPI200|AP1
00301,ATX,ATX|AUSTRIA20|FATX|ATX1
00401,Australian Dollar Index,AXY|AUDX|AUSSIE|AUSTRALIAN
00501,BEL 20,BEL20|BELGIUM20|BEL|BELG20
00601,BIST 100,XU100|TURKEY|TUR100|ISTANBUL100
00701,Bitcoin Index,BTCINDEX|BTCX
00801,Bovespa,IBOV|BRAZIL|BOVESPA|BVSP|IND
00901,British Pound Index,BXY|GBPX|POUND|STERLING
01001,CAC 40,CAC|CAC40|FRA40|FR40|FRANCE40|FCE|CAC1|CACM
01101,Canadian Dollar Index,CXY|CADX|LOONIE|CANADIAN
01201,TSX 60,CA60|SPTSX60|TSX60|CANADA60
01301,China A50,CN50|CHN50|CHA50|CHINA50|CNIUSD|FTSE50|FTN1|MCA|CHINAH
01401,CRB Index,CRB|COMMODITY|COMMODITIES|COMM
01501,Crypto 10 Index,CRYPTO10|CC10|CRYPTOCURRENCY|ALTCOIN
01601,DAX,DAX|DAX30|GER30|DE30|GERMANY30|FDAX|DAX1|GDAXI|DAXM|GERTEC30
01701,DJP Commodity,DJP|DJCI|DOWJONES|COMMODITY
01801,Dow Jones Industrial Average,DJI|DJIA|DJI30|DJ30|US30|DJIUSD|WALL30|INDU|YM|MYM|DJF|DJIF
01901,EGX 30,CASE30|EGYPT|CAIRO|EGYPTIAN
02001,EGX 30,EGX30|EGYPT30|CAIRO30|EGYPTIAN30
02101,Ethereum Index,ETH|ETHEREUM|ETHUSD|ETHINDEX
02201,Euro Currency Index,EXY|EURX|EUROINDEX
02301,Euro Stoxx 50,SX5E|STOXX50|EU50|EURO50|EUSTX50|EXCEUR|FESX|FESX1|ESTX50
02401,FTSE 100,UKX|FTSE|UK100|FTSE100|UKCGBP|UKC|Z|ZFTSE
02501,FTSE MIB,FTMIB|FTSEMIB|ITALY40|ITA40|IT40|ITALIA40
02601,GSCI,GSCI|GOLDMANSACHS|COMMODITY|GI
02701,Hang Seng,HSI|HK50|HK33|HANGSENG|HONGKONG50|HSIHKD|HSI1|MHI|HHI|HS50
02801,IBEX 35,IBEX|ESP35|SPAIN35|ES35|SPA35|IBEX35
02901,IGBC,IGBC|COLOMBIA|COL|BOGOTA
03001,IPC Mexico,MXX|MEXICO|MEX|IPC|MEXBOL
03101,IPSA,IPSA|CHILE|CHL|SANTIAGO
03201,Jakarta Composite,JCI|JAKARTA|INDONESIA|ID|COMPOSITE
03301,Japanese Yen Index,JXY|JPYX|YEN
03401,JSE All Share,JALSH|SOUTHAFRICA|SA40|ALSI|JSE|AFRICA40
03501,KLCI,KLCI|MALAYSIA|MY|FKLI|KUALALUMPUR
03601,Kosdaq,KOSDAQ|KQ11|KOREADAQ|KKQI
03701,Kospi,KOSPI|KS11|KOREA|KOR|KR|KK2I|MMKI
03801,Kuwait All Share,KWSE|KUWAIT|KWI
03901,Merval,MERV|ARGENTINA|ARG|BUENOS|IMV
04001,MOEX Russia Index,MOEX|RTS|RTSI|RUSSIA|RUS|MX|RI|MM
04101,MSCI Indonesia,EIDO|IDN|INDONESIA|MSCIINDO
04201,NASDAQ 100,NDX|NASDAQ100|ND100|NDQ|NQ100|US100|TECH100|NASUSD|NACUSD|NQ|MNQ|NQF|NQFXX|NSDQ|NAS100|USTEC
04301,NASDAQ Biotechnology,NBI|BTK|NASDAQBIO|NBF
04401,NASDAQ Composite,IXIC|COMPX|COMP|NASDAQCOMP
04501,NASDAQ Financial 100,IXF|NQF|NASDAQFIN|IXIF
